linked_trip_id,trip_id,tour_id,travel_mode,local_datetime_start,local_datetime_end,network_distance,route_distance,geohash7_orig,geohash7_dest,access_stop,access_stop_id,egress_stop,egress_stop_id,trip_purpose,trip_weight,route_taken,duration_min,GEOID_orig,GEOID_dest,geometry
GWlbl2MqxEeXBBd7XdngWgbgB7APLqvJQzR1MzgNbjB707VAayK7xb-BK4e1r6rYw1ngQNvXKDXYgGB49joo,GWlbl2MqxEeXBBd7XdngWgbgB7APLqvJQzR1MzgNbjB707VAayK7xb-671xoo7KjO1le,GWlbl2MqxEeXBBd7XdngWgbgB7APLqvJQzR1MzgNbjB707VAayK7xb-xv7y0DRL5dPOj,car,2020-01-06 02:32:26,2020-01-06 02:57:22,21.72,"0.255, 0.111, 0.171, 0.038, 0.08, 0.025, 0.169, 0.047, 0.103, 0.185, 0.057, 0.038, 0.018, 0.019, 0.048, 0.09, 0.205, 0.02, 0.016, 0.118, 0.118, 0.029, 0.205, 0.09, 0.048, 0.019, 0.018, 0.038, 0.057, 0.185, 0.031, 0.08, 0.041, 0.076, 0.115, 0.028, 0.087, 0.11, 0.109, 0.246, 0.166, 0.092, 0.439, 0.237, 0.039, 0.14, 0.434, 0.238, 0.03, 0.069, 0.03, 0.042, 0.026, 0.157, 0.202, 0.029, 0.052, 0.031, 0.241, 0.013, 0.085, 0.014, 0.04, 0.307, 0.012, 0.062, 0.36, 0.083, 0.013, 0.035, 0.014, 0.047, 0.402, 0.019, 0.097, 0.013, 0.536, 1.095, 0.252, 0.026, 0.05, 0.295, 0.165, 0.029, 0.729, 0.447, 0.294, 0.045, 0.431, 0.044, 0.46, 0.028, 0.04, 0.027, 0.605, 0.346, 0.025, 0.043, 0.042, 0.239, 0.03, 0.037, 0.675, 0.022, 0.601, 0.093, 0.081, 0.244, 0.044, 0.075, 0.054, 0.053, 0.144, 0.079, 0.351, 0.093, 0.4, 0.206, 0.03, 0.019, 0.305, 0.034, 0.343, 0.468, 0.41, 0.05, 0.372, 0.851, 0.037, 0.417, 0.163, 0.019, 0.146, 0.037, 0.044, 0.044, 0.013, 0.01, 0.07, 0.034, 0.124, 0.072, 0.012, 0.006, 0.007, 0.009, 0.027, 0.057, 0.057",9x2258m,9x0qv8d,,,,,OBO,18.089531773966723,"6544909862, 8301911306, 6544909866, 9312894409, 83606902, 316498862, 9499741026, 83606900, 1919666152, 1875231640, 316499186, 9879540016, 316542120, 83602451, 316542119, 316499167, 1875214349, 7468879794, 7468879788, 7468879791, 11082692208, 7468879791, 7468879794, 1875214349, 316499167, 316542119, 83602451, 316542120, 9879540016, 316499186, 1875231640, 1875231639, 316727008, 9312818485, 83510902, 83606886, 316727146, 83606883, 83642203, 316730003, 83642207, 83642209, 351967711, 351967817, 360144834, 360144835, 360144892, 83513988, 9398011344, 351972550, 83514005, 1013077312, 651305153, 3354361189, 386259920, 386259929, 651305329, 386259933, 3354361185, 3354361184, 386259939, 566552009, 3354361182, 5793152138, 3354361179, 386259949, 386259952, 1013077384, 3354361175, 386259961, 386259964, 3354361173, 386261489, 2786645078, 3354361172, 3354361170, 2786645083, 352894205, 1013077405, 3354361168, 352894270, 352894271, 1923637161, 352894272, 352894273, 12151087068, 358197283, 358203349, 358203347, 358203855, 9249626602, 3354361158, 358197284, 358197285, 3354361157, 358197298, 3354361154, 358197303, 358197305, 7241648874, 7241648807, 358197306, 358197307, 358197320, 2786636781, 358197328, 352890192, 352891609, 352891491, 352891492, 352892717, 352892716, 352892774, 352891497, 9704023307, 352893244, 352893245, 9868620321, 9868559690, 9868559691, 352893890, 352893902, 352893900, 10142916075, 357732926, 357732909, 357732995, 357736450, 357741692, 357733183, 357744595, 10566978220, 357744592, 357745387, 10129991498, 6467056915, 6467056916, 83578286, 10038200798, 5971457319, 2390773961, 3911769701, 6029373782, 12015223283, 6695677285, 6695672879, 12015223282, 6029374490, 6029374494, 6029374490",24.933333333333334,49035980000,49035112825,"LINESTRING (-111.9820191 40.7841165, -111.9824878 40.7840878, -111.9839152 40.7840003, -111.9858155 40.7838729, -111.9868604 40.7838028, -111.9868604 40.7838028, -111.9871393 40.7837889, -111.9872636 40.7837737, -111.987382 40.7837546, -111.9874976 40.7837274, -111.9876096 40.7836925, -111.9877132 40.7836516, -111.9878118 40.7836041, -111.9879046 40.7835503, -111.9879789 40.7835038, -111.9880568 40.7834608, -111.988138 40.7834213, -111.9882505 40.7833748, -111.9883669 40.7833341, -111.9884866 40.7832995, -111.988591 40.7832749, -111.9886971 40.7832549, -111.9888045 40.7832396, -111.9888045 40.7832396, -111.9891955 40.7831999, -111.9894818 40.7831763, -111.9897687 40.7831573, -111.9899481 40.7831418, -111.9901255 40.7831167, -111.9902711 40.7830886, -111.9904144 40.783054, -111.9905546 40.7830131, -111.9906561 40.7829789, -111.9907534 40.7829384, -111.9908459 40.7828918, -111.9909373 40.7828445, -111.9910236 40.7827921, -111.9911045 40.7827349, -111.9911692 40.7826821, -111.9912292 40.7826261, -111.9912842 40.7825673, -111.9913399 40.7824973, -111.9913882 40.7824241, -111.9914287 40.7823483, -111.9914611 40.7822703, -111.9914854 40.7821906, -111.9914854 40.7821906, -111.9915198 40.7821177, -111.9915489 40.7820435, -111.9915696 40.7819606, -111.9915833 40.7818768, -111.9915904 40.7817665, -111.9915852 40.7816562, -111.9915852 40.7816562, -111.9914513 40.780499, -111.9914513 40.780499, -111.991412 40.7801349, -111.991412 40.7801349, -111.9911224 40.7776919, -111.9911224 40.7776919, -111.9909006 40.7770287, -111.9909006 40.7770287, -111.9908686 40.7768445, -111.9908525 40.7767474, -111.9907613 40.7765483, -111.9907023 40.7763858, -111.9906916 40.7762071, -111.9907184 40.7760202, -111.9907613 40.7758943, -111.9907768 40.7757788, -111.9907273 40.775562, -111.9907273 40.775562, -111.9903803 40.7752306, -111.9900054 40.7748777, -111.9897631 40.774657, -111.9893999 40.7743186, -111.9887956 40.7737961, -111.9885879 40.7736722, -111.9883764 40.7735719, -111.9883764 40.7735719, -111.988215 40.7735142, -111.9880447 40.7734685, -111.9878603 40.7734283, -111.9876742 40.7734034, -111.9875156 40.7733925, -111.9873341 40.7733844, -111.9873341 40.7733844, -111.9866151 40.7733887, -111.9866151 40.7733887, -111.986281 40.7733893, -111.986281 40.7733893, -111.9859105 40.7733922, -111.9859105 40.7733922, -111.9849885 40.7733924, -111.9849885 40.7733924, -111.9832739 40.7733873, -111.9832739 40.7733873, -111.9815548 40.7733844, -111.9808653 40.7733833, -111.9796956 40.7733895, -111.9795747 40.7733967, -111.979472 40.7734179, -111.9793774 40.7734455, -111.9793774 40.7734455, -111.9792837 40.7734868, -111.9790492 40.7735834, -111.9790492 40.7735834, -111.9790921 40.7736955, -111.9791222 40.7738111, -111.9791222 40.7738111, -111.9791809 40.7740473, -111.9792038 40.7742701, -111.979243 40.7746368, -111.9793215 40.775371, -111.9793298 40.7754489, -111.979336 40.7755128, -111.979336 40.7755128, -111.9793298 40.7754489, -111.9793215 40.775371, -111.979243 40.7746368, -111.9792038 40.7742701, -111.9791809 40.7740473, -111.9791222 40.7738111, -111.9791222 40.7738111, -111.9791506 40.7737241, -111.9792149 40.7736087, -111.9793774 40.7734455, -111.9793774 40.7734455, -111.979472 40.7734179, -111.9795747 40.7733967, -111.9796956 40.7733895, -111.9808653 40.7733833, -111.9815548 40.7733844, -111.9832739 40.7733873, -111.9832739 40.7733873, -111.9849885 40.7733924, -111.9849885 40.7733924, -111.9859105 40.7733922, -111.9859105 40.7733922, -111.986281 40.7733893, -111.986281 40.7733893, -111.9866151 40.7733887, -111.9866151 40.7733887, -111.9873341 40.7733844, -111.9873341 40.7733844, -111.9875156 40.7733925, -111.9876742 40.7734034, -111.9878603 40.7734283, -111.9880447 40.7734685, -111.988215 40.7735142, -111.9883764 40.7735719, -111.9883764 40.7735719, -111.9885879 40.7736722, -111.9887956 40.7737961, -111.9893999 40.7743186, -111.9897631 40.774657, -111.9900054 40.7748777, -111.9903803 40.7752306, -111.9907273 40.775562, -111.9907273 40.775562, -111.9907157 40.7758025, -111.9905432 40.7759575, -111.9905432 40.7759575, -111.9903469 40.7760114, -111.990201 40.7760114, -111.9899692 40.7759594, -111.989196 40.7755564, -111.989196 40.7755564, -111.9885872 40.7751858, -111.9885872 40.7751858, -111.9883398 40.775022, -111.9880381 40.7748219, -111.9875574 40.7744189, -111.9875574 40.7744189, -111.9873538 40.774143, -111.9872162 40.7738564, -111.9871102 40.7736304, -111.9869766 40.7731664, -111.9869632 40.77301, -111.9869584 40.7728371, -111.9869584 40.7728371, -111.9869658 40.7724285, -111.9869658 40.7724285, -111.9869707 40.7719128, -111.986962 40.7714262, -111.9869604 40.7711625, -111.9869604 40.7711625, -111.9868995 40.7706409, -111.9868758 40.7705014, -111.986858 40.7704011, -111.9868384 40.7703174, -111.9868096 40.7701964, -111.9867787 40.7700805, -111.9867451 40.769969, -111.9867111 40.7698658, -111.986672 40.7697563, -111.9866327 40.7696489, -111.986608 40.7695897, -111.986608 40.7695897, -111.9865847 40.7695329, -111.9862171 40.7688785, -111.9856876 40.7681748, -111.9856876 40.7681748, -111.9848473 40.7673608, -111.9828642 40.76532, -111.9828642 40.76532, -111.9825676 40.7650421, -111.9824512 40.764938, -111.9821776 40.764745, -111.9818235 40.7645094, -111.9815741 40.7643611, -111.9813649 40.7642392, -111.9810323 40.7640746, -111.9804127 40.7638349, -111.9804127 40.7638349, -111.9800619 40.7637282, -111.9797019 40.7636358, -111.9793344 40.7635525, -111.978736 40.7634449, -111.978736 40.7634449, -111.978047 40.7634144, -111.977709 40.7634002, -111.9773054 40.7634111, -111.9766359 40.7634631, -111.9760694 40.7635737, -111.9753913 40.7637427, -111.9743185 40.7639962, -111.9736919 40.7641327, -111.9728164 40.7642693, -111.9717693 40.7643408, -111.9705247 40.7644123, -111.9705247 40.7644123, -111.968456 40.7644123, -111.9660066 40.764546, -111.9660066 40.764546, -111.9652651 40.7645747, -111.9652651 40.7645747, -111.9625946 40.7647113, -111.9625946 40.7647113, -111.9610471 40.7647105, -111.9605402 40.7647166, -111.960213 40.7647105, -111.9597999 40.7646841, -111.95947 40.7646618, -111.9588585 40.7645724, -111.9583757 40.7644809, -111.9580833 40.7644098, -111.9567318 40.7639897, -111.954829 40.7630548, -111.954829 40.7630548, -111.9543604 40.7628293, -111.9539527 40.762618, -111.9537167 40.7624718, -111.9535021 40.7623072, -111.9532929 40.7621325, -111.953089 40.7619517, -111.9529603 40.7617932, -111.9527645 40.7615596, -111.9523085 40.7607713, -111.9521132 40.760407, -111.9521132 40.760407, -111.9518994 40.7600094, -111.9518994 40.7600094, -111.9518648 40.7599477, -111.9516351 40.7595324, -111.9513659 40.7590991, -111.9513659 40.7590991, -111.9511284 40.7587018, -111.9511284 40.7587018, -111.9508133 40.7581465, -111.9508133 40.7581465, -111.9506312 40.7577949, -111.9506312 40.7577949, -111.9495021 40.7556796, -111.9495021 40.7556796, -111.9491159 40.7547693, -111.9488456 40.7537744, -111.9486982 40.7528209, -111.9486982 40.7528209, -111.9486663 40.7524066, -111.9486663 40.7524066, -111.9486773 40.751656, -111.9486773 40.751656, -111.9487015 40.7512115, -111.9487015 40.7512115, -111.9487591 40.750316, -111.9488794 40.7486471, -111.9489412 40.747726, -111.9489412 40.747726, -111.9489495 40.7475394, -111.9489495 40.7475394, -111.9490352 40.7463036, -111.9490352 40.7463036, -111.9490497 40.7460976, -111.9490497 40.7460976, -111.9490811 40.7455155, -111.9490811 40.7455155, -111.9491224 40.7447488, -111.9491837 40.7438187, -111.9493582 40.7410701, -111.9493582 40.7410701, -111.9493628 40.7408896, -111.9493628 40.7408896, -111.9494093 40.7399967, -111.9494093 40.7399967, -111.9494136 40.7398145, -111.9494249 40.7384633, -111.9494206 40.7370539, -111.9494035 40.7360215, -111.9494121 40.7355417, -111.9494647 40.7347802, -111.9494647 40.7347802, -111.9495234 40.734308, -111.9496286 40.7335805, -111.9496286 40.7335805, -111.94966 40.7333934, -111.94966 40.7333934, -111.9497544 40.732886, -111.9497544 40.732886, -111.949784 40.7326892, -111.949784 40.7326892, -111.9499111 40.732021, -111.9499111 40.732021, -111.9502403 40.7302857, -111.950411 40.7294117, -111.9506851 40.7279234, -111.9511099 40.7262611, -111.9511099 40.7262611, -111.9511839 40.7259894, -111.9511839 40.7259894, -111.9516455 40.7246289, -111.9516455 40.7246289, -111.951711 40.7244482, -111.951711 40.7244482, -111.9524322 40.7224208, -111.9529356 40.7206963, -111.9534334 40.7188878, -111.9536223 40.7175542, -111.9537912 40.7168548, -111.9537912 40.7168548, -111.9539055 40.7154659, -111.9539055 40.7134882, -111.9537939 40.711621, -111.9529097 40.7010096, -111.9529097 40.7010096, -111.9526558 40.697364, -111.9526558 40.697364, -111.9526319 40.6969929, -111.9526319 40.6969929, -111.9525736 40.6962718, -111.9525736 40.6962718, -111.9525403 40.6958626, -111.9522263 40.6919985, -111.9522263 40.6919985, -111.9520272 40.6900271, -111.9519851 40.6896105, -111.9519851 40.6896105, -111.9519511 40.6891838, -111.9519511 40.6891838, -111.9519143 40.6887465, -111.9516181 40.684769, -111.9516367 40.6828124, -111.9517125 40.681661, -111.9520773 40.6787642, -111.9521047 40.6786342, -111.9521047 40.6786342, -111.9525468 40.6765366, -111.9527072 40.6755063, -111.9527728 40.6747005, -111.9527899 40.6733009, -111.952807 40.6721958, -111.952807 40.6721958, -111.952743 40.6679362, -111.952743 40.6679362, -111.9527399 40.6672842, -111.9527399 40.6672842, -111.9527772 40.6610384, -111.9527772 40.6610384, -111.9527761 40.6604021, -111.9527761 40.6604021, -111.9527655 40.6540682, -111.9527596 40.6537376, -111.9527596 40.6537376, -111.9527523 40.6533265, -111.9527523 40.6533265, -111.9527014 40.6527504, -111.9527014 40.6527504, -111.9526308 40.6523598, -111.9526308 40.6523598, -111.9524613 40.6518438, -111.9521695 40.6510168, -111.9518434 40.6502289, -111.9513885 40.6494996, -111.9509078 40.6488614, -111.9503413 40.6481776, -111.9496633 40.6475459, -111.9486934 40.6468361, -111.9476806 40.6462239, -111.9465219 40.6456638, -111.9461327 40.645514, -111.9461327 40.645514, -111.9456261 40.6453553, -111.9451449 40.6452119, -111.9446627 40.6450757, -111.9442066 40.6449574, -111.9437824 40.6448675, -111.9432735 40.6447828, -111.9428229 40.6447193, -111.9424034 40.6446705, -111.9419711 40.6446313, -111.941503 40.6445953, -111.9410324 40.6445772, -111.9397201 40.6445586, -111.9397201 40.6445586, -111.9392352 40.6445528, -111.9392352 40.6445528, -111.9384165 40.6445559, -111.9384165 40.6445559, -111.9376209 40.6445549, -111.9376209 40.6445549, -111.9355093 40.6445521, -111.9330778 40.6445487, -111.9330778 40.6445487, -111.9325149 40.644548, -111.9325149 40.644548, -111.9323677 40.6445445, -111.93221 40.6445411, -111.9320069 40.6445316, -111.9318074 40.6445179, -111.9318074 40.6445179, -111.9314875 40.6444925, -111.9312387 40.6444665, -111.9310056 40.6444336, -111.9307839 40.6443985, -111.9305621 40.6443607, -111.9303037 40.644306, -111.9300272 40.6442414, -111.9297733 40.6441732, -111.9295667 40.6441116, -111.9293147 40.6440349, -111.9290029 40.6439221, -111.9287384 40.6438226, -111.9284965 40.6437203, -111.9282021 40.6435814, -111.9279532 40.643461, -111.9274619 40.6431975, -111.9272252 40.6430541, -111.9269141 40.6428402, -111.9267135 40.6426861, -111.9264285 40.6424533, -111.9257823 40.6418493, -111.9240489 40.6401507, -111.9236515 40.6398033, -111.9232776 40.6395006, -111.9229001 40.6392138, -111.922531 40.6389555, -111.9220304 40.638636, -111.9220304 40.638636, -111.9218573 40.6385325, -111.9217017 40.6384424, -111.9217017 40.6384424, -111.9212968 40.6382101, -111.9209497 40.6380283, -111.9204645 40.6378044, -111.9200659 40.6376379, -111.9196848 40.6374767, -111.9193263 40.6373523, -111.9189818 40.6372305, -111.9184444 40.6370655, -111.9180567 40.636957, -111.9169787 40.6366771, -111.9164698 40.6365794, -111.9158962 40.6364922, -111.9149267 40.6363792, -111.9108956 40.6359883, -111.9108956 40.6359883, -111.9100325 40.6359211, -111.9091452 40.635799, -111.9091452 40.635799, -111.907758 40.6352974, -111.907758 40.6352974, -111.9071317 40.6349847, -111.906651 40.6347372, -111.9061961 40.6343985, -111.9058442 40.6339882, -111.9056211 40.6336364, -111.9054494 40.6332131, -111.9052464 40.63252, -111.9052464 40.63252, -111.9050427 40.6319002, -111.9050427 40.6319002, -111.9045712 40.6308711, -111.9045712 40.6308711, -111.9042616 40.6301322, -111.9042616 40.6301322, -111.9039679 40.6293973, -111.9039679 40.6293973, -111.9038418 40.6290651, -111.9036401 40.6283693, -111.9035903 40.6281628, -111.903568 40.6280553, -111.9035474 40.6279458, -111.9035277 40.627839, -111.9035114 40.6277315, -111.903477 40.6275158, -111.903455 40.6273527, -111.903455 40.6273527, -111.9034418 40.6271744, -111.9034255 40.6269555, -111.9034083 40.6266284, -111.9034066 40.6264095, -111.90341 40.626201, -111.90341 40.626201, -111.9034298 40.6259827, -111.9034453 40.6258694, -111.9034607 40.6257645, -111.9035071 40.6255618, -111.9035887 40.6252771, -111.904773 40.6212201, -111.904773 40.6212201, -111.9050842 40.6198929, -111.9050842 40.6198929, -111.9055039 40.6180526, -111.9055569 40.6178476, -111.9056425 40.6175307, -111.9060994 40.6160625, -111.9062047 40.6157135, -111.9062766 40.6154495, -111.9063111 40.6153172, -111.9063422 40.6151845, -111.9063857 40.6149671, -111.9064201 40.6147487, -111.906465 40.6144195, -111.9064885 40.6141969, -111.9064885 40.6141969, -111.9065064 40.6139741, -111.9065199 40.6137009, -111.906524 40.6134275, -111.9065183 40.6131368, -111.9065022 40.6128463, -111.9064834 40.6126287, -111.9064587 40.6124115, -111.9063829 40.6118644, -111.9062988 40.6112256, -111.9062988 40.6112256, -111.9062555 40.6109802, -111.9061006 40.6108392, -111.9061006 40.6108392, -111.9060598 40.6105649, -111.9060598 40.6105649, -111.9059982 40.6101312, -111.9052428 40.6061873, -111.9052428 40.6061873, -111.9051509 40.6056929, -111.9051509 40.6056929, -111.9045193 40.6023999, -111.9044379 40.6019878, -111.904206 40.600775, -111.904206 40.600775, -111.9029026 40.5940591, -111.9029026 40.5940591, -111.902612 40.5932568, -111.902284 40.5923511, -111.9014086 40.5905621, -111.9009896 40.5895517, -111.9006158 40.5883798, -111.9006158 40.5883798, -111.9004409 40.5876715, -111.9004409 40.5876715, -111.9002832 40.586396, -111.9002601 40.586023, -111.900242 40.5855657, -111.9002176 40.5848943, -111.9003032 40.5822858, -111.9003032 40.5822858, -111.9003233 40.575003, -111.9002975 40.571828, -111.9001638 40.5699545, -111.9001638 40.5699545, -111.9001258 40.5694222, -111.9001258 40.5694222, -111.8998254 40.5666316, -111.8993799 40.5634009, -111.8993799 40.5634009, -111.8993876 40.5627112, -111.8993558 40.5624236, -111.8993275 40.5621454, -111.8992586 40.5614909, -111.8992547 40.5613424, -111.8992563 40.5611457, -111.899258 40.5610382, -111.899258 40.5610382, -111.8992614 40.5608765, -111.8992594 40.5607649, -111.8992594 40.5607649, -111.8993209 40.5601766, -111.8993265 40.5600335, -111.8993303 40.5598729, -111.899338 40.5595557, -111.899342 40.5594114, -111.8993428 40.5593833, -111.899347 40.5593513, -111.8993538 40.5593233, -111.8993665 40.5592946, -111.8993804 40.5592716, -111.8993952 40.5592518, -111.8994169 40.5592299, -111.8994438 40.5592087, -111.8994664 40.559194, -111.8994895 40.5591815, -111.8995214 40.5591677, -111.8995557 40.5591565, -111.8995892 40.5591492, -111.8996536 40.55914, -111.8997038 40.5591352, -111.8997624 40.5591311, -111.8998489 40.5591273, -111.9001185 40.5590574, -111.9001185 40.5590574, -111.9008294 40.5590586, -111.9008294 40.5590586, -111.9012598 40.5590517, -111.9016609 40.5590356, -111.9016609 40.5590356, -111.9025 40.5590041, -111.9025 40.5590041, -111.902746 40.5589856, -111.902746 40.5589856, -111.9027464 40.5591312, -111.9027464 40.5591312, -111.9027492 40.560148, -111.9027492 40.560148, -111.9027704 40.5606384, -111.9027704 40.5606384, -111.902782 40.5608777, -111.9027853 40.5609648, -111.9027805 40.5610692, -111.9027655 40.5611326, -111.9027209 40.5612677, -111.9026726 40.5613651, -111.9025511 40.5615935, -111.9025162 40.5616946, -111.9025002 40.561768, -111.9024911 40.561842, -111.9024891 40.5619188, -111.9024945 40.5619956, -111.9025074 40.5620718, -111.9025277 40.5621471, -111.9026012 40.5623891, -111.9026012 40.5623891, -111.9029234 40.5633974, -111.9029234 40.5633974, -111.9029706 40.5635652, -111.9029706 40.5635652, -111.902996 40.5636557, -111.902996 40.5636557, -111.903027 40.5637527, -111.903027 40.5637527, -111.9030692 40.5638786, -111.9030692 40.5638786, -111.9031398 40.5640893, -111.9031974 40.5642623, -111.9031974 40.5642623, -111.9033233 40.5646536, -111.9034573 40.5650703, -111.9034573 40.5650703, -111.9033233 40.5646536, -111.9031974 40.5642623)"
GWlbl2MqxEeXBBd7XdngWgbgB7APLqvJQzR1MzgNbjB707VAayK7xb-BK4e1r6rYw1ngQNvXKDXYgGB49joo,GWlbl2MqxEeXBBd7XdngWgbgB7APLqvJQzR1MzgNbjB707VAayK7xb-QBq9ew5Y1dQY2,GWlbl2MqxEeXBBd7XdngWgbgB7APLqvJQzR1MzgNbjB707VAayK7xb-xv7y0DRL5dPOj,bus,2020-01-06 03:09:40,2020-01-06 03:34:47,16.94,"0.031, 0.294, 0.158, 0.138, 0.131, 0.179, 0.193, 0.395, 0.459, 0.231, 0.103, 0.564, 0.031, 0.118, 0.15, 0.038, 0.031, 0.819, 0.688, 0.463, 1.022, 0.199, 1.319, 7.194, 0.546, 0.239, 1.182, 0.031",9x0qv93,9x0wgsb,Jordan Gateway / 10000 S (NB),1004569,Peruvian Lodge (Up),1002915,OBO,,"1004569, 1505740, 1505723, 1505725, 1505736, 1505737, 1505738, 1505701, 1505741, 1505713, 1505727, 1505726, 1505714, 1002839, 1002577, 1002908, 1002875, 1506804, 1506802, 1506812, 1506803, 1506811, 1506801, 1506805, 1506810, 1506806, 1506807, 1506808, 1002915",25.116666666666667,49035112621,49035110106,"LINESTRING (-111.904397 40.568859999999994, -111.904297 40.56896, -111.904397 40.568859999999994, -111.898847 40.569472, -111.898847 40.569472, -111.895945 40.56888, -111.895945 40.56888, -111.895916 40.566886, -111.895916 40.566886, -111.89502900000001 40.565115, -111.89502900000001 40.565115, -111.895038 40.567710999999996, -111.895038 40.567710999999996, -111.892191 40.569478999999994, -111.892191 40.569478999999994, -111.88485200000001 40.570778, -111.88485200000001 40.570778, -111.89079100000001 40.575649999999996, -111.89079100000001 40.575649999999996, -111.890815 40.578993999999994, -111.890815 40.578993999999994, -111.890873 40.580478, -111.890873 40.580478, -111.890744 40.588642, -111.890744 40.588642, -111.890644 40.588742, -111.890644 40.588742, -111.888496 40.588221, -111.888496 40.588221, -111.885653 40.588435, -111.885653 40.588435, -111.885438 40.588954, -111.885538 40.588854, -111.885438 40.588954, -111.885538 40.588854, -111.869979 40.587838, -111.869979 40.587838, -111.861044 40.580554, -111.861044 40.580554, -111.852239 40.580223, -111.852239 40.580223, -111.832862 40.578776, -111.832862 40.578776, -111.829589 40.580234999999995, -111.829589 40.580234999999995, -111.804652 40.577881999999995, -111.804652 40.577881999999995, -111.66756500000001 40.578418, -111.66756500000001 40.578418, -111.65771500000001 40.580946, -111.65771500000001 40.580946, -111.662065 40.579936, -111.662065 40.579936, -111.64290100000001 40.588916999999995, -111.64290100000001 40.588916999999995, -111.642801 40.589017)"
GWlbl2MqxEeXBBd7XdngWgbgB7APLqvJQzR1MzgNbjB707VAayK7xb-BK4e1r6rYw1ngQNvXKDXYgGB49joo,GWlbl2MqxEeXBBd7XdngWgbgB7APLqvJQzR1MzgNbjB707VAayK7xb-671xQRLawBBGB,GWlbl2MqxEeXBBd7XdngWgbgB7APLqvJQzR1MzgNbjB707VAayK7xb-xv7y0DRL5dPOj,bus,2020-01-06 03:54:24,2020-01-06 03:57:51,2.68,"0.031, 1.135, 0.031, 0.031, 0.239, 1.182, 0.031",9x0wgsg,9x0wgkg,Goldminer's Daughter Lodge,1002916,Peruvian Lodge (Up),1002915,OBO,,"1002916, 1506821, 1506819, 1002913, 1506806, 1506807, 1506808, 1002915",3.45,49035110106,49035110106,"LINESTRING (-111.638885 40.589036, -111.638785 40.589136, -111.638885 40.589036, -111.65771500000001 40.580946, -111.65771500000001 40.580946, -111.657615 40.581046, -111.65771500000001 40.580946, -111.657615 40.581046, -111.65771500000001 40.580946, -111.662065 40.579936, -111.662065 40.579936, -111.64290100000001 40.588916999999995, -111.64290100000001 40.588916999999995, -111.642801 40.589017)"
