GEOID20,TDI_base,TDI_supply_iso,TDI_supply_freq,TDI_supply_station,residual_TDI_supply_iso,residual_TDI_supply_freq,residual_TDI_supply_station,TDI_base_rank,TDI_supply_iso_rank,TDI_supply_freq_rank,TDI_supply_station_rank,rank_std
49035104400,0.437967355517939,0.288081703137403,0.122980574843773,0.512556279741902,-0.14988565238053603,-0.314986780674166,0.07458892422396296,152.0,187.0,318.0,49.0,111.0390321763778
49035104900,0.310593706119849,0.597837029829497,-0.118449236986358,0.487467683456678,0.28724332370964806,-0.429042943106207,0.17687397733682902,197.0,129.0,394.0,93.0,134.27924883118266
49035110200,-0.067798038358811,-0.581901112401686,0.109622110173389,0.284854571335907,-0.5141030740428749,0.1774201485322,0.352652609694718,301.0,407.0,324.0,232.0,72.17109301283075
49035110500,-1.000948705161591,-1.549334594791414,-0.147951680266242,-0.802593292210226,-0.548385889629823,0.8529970248953491,0.19835541295136505,482.0,505.0,403.0,471.0,43.85107372307623
49049000604,0.729144894148613,0.842929291606473,0.314695767639136,0.481549252188267,0.11378439745785995,-0.4144491265094771,-0.24759564196034606,87.0,93.0,158.0,118.0,32.25936556516056
49049000708,0.049005058370848,-0.158274871509167,0.133687128200025,0.002490952059796,-0.207279929880015,0.084682069829177,-0.046514106311052,266.0,315.0,309.0,309.0,22.677080940897135
49049000709,-0.37551244180424,-0.626096369194888,0.128881167114096,-0.581566469685032,-0.250583927390648,0.504393608918336,-0.20605402788079202,393.0,415.0,314.0,437.0,53.59959576962
49049000710,0.319994445872436,-0.036431769890176,0.263767930368918,0.394249327902501,-0.35642621576261196,-0.05622651550351798,0.07425488203006503,193.0,282.0,202.0,183.0,45.335784247472034
49049001105,0.036348185423055,0.076525364632352,0.078016854598288,-0.220541652263299,0.040177179209297004,0.041668669175233,-0.256889837686354,273.0,250.0,340.0,363.0,53.631458430042095
49049001106,0.114604837565111,-0.117830355993725,0.182427228492661,0.0725613493441,-0.23243519355883602,0.06782239092754999,-0.042043488221011005,254.0,306.0,278.0,289.0,21.792582836062977
49049001108,0.255919216536349,0.094320607609431,-0.076001154788074,0.528859739165399,-0.16159860892691802,-0.33192037132442304,0.27294052262904994,215.0,244.0,385.0,43.0,140.40744282266522
49049010216,0.733435442435807,0.843477536904474,0.324941256088335,0.481952562540987,0.11004209446866697,-0.40849418634747203,-0.25148287989482004,86.0,92.0,126.0,117.0,19.276496915501358
49049010219,-0.068166593999253,-0.883143328768496,0.345588191533163,0.193220016596025,-0.814976734769243,0.413754785532416,0.261386610595278,303.0,451.0,71.0,255.0,156.71205016419978
49049010404,0.736799728185301,0.856276330096673,0.322236992377003,0.478710186090184,0.119476601911372,-0.41456273580829806,-0.25808954209511703,78.0,82.0,143.0,143.0,36.40970566575164
49049010405,0.737916618716877,0.857393220628249,0.323353882908579,0.479827076621759,0.119476601911372,-0.41456273580829794,-0.258089542095118,67.0,71.0,132.0,127.0,35.02737025051505
49049001702,0.249857203445412,0.195160690176869,0.140382983456298,0.133005132254351,-0.05469651326854302,-0.10947421998911402,-0.116852071191061,217.0,205.0,303.0,276.0,46.89971570631674
