trip_weight,latitude_1,longitude_1,access_lon,access_lat,geometry
35.624920842488486,40.74477005004883,-111.90167236328125,-111.896781,40.742583,"LINESTRING (-111.90167236328124 40.74477005004883, -111.896781 40.742583)"
8.821561017233936,40.73271942138672,-111.8998031616211,-111.899807,40.732874,"LINESTRING (-111.8998031616211 40.73271942138672, -111.899807 40.732874)"
8.821561017233936,40.74348068237305,-111.89596557617188,-111.89954,40.742442,"LINESTRING (-111.89596557617188 40.74348068237305, -111.89954 40.742442)"
10.115009031134022,40.74354934692383,-111.89607238769531,-111.89954,40.742442,"LINESTRING (-111.89607238769533 40.74354934692383, -111.89954 40.742442)"
6.294048953161377,40.73290252685547,-111.9041519165039,-111.899807,40.732874,"LINESTRING (-111.9041519165039 40.73290252685547, -111.899807 40.732874)"
28.051845083629324,40.7254638671875,-111.89324188232422,-111.896861,40.724801,"LINESTRING (-111.89324188232422 40.7254638671875, -111.896861 40.724801)"
53.17389257085125,40.72636413574219,-111.89974212646484,-111.896861,40.724801,"LINESTRING (-111.89974212646484 40.72636413574219, -111.896861 40.724801)"
20.537854995874152,40.74526596069336,-111.90080261230469,-111.896781,40.742583,"LINESTRING (-111.90080261230467 40.74526596069336, -111.896781 40.742583)"
6.294048953161377,40.73862838745117,-111.89985656738281,-111.896785,40.741876,"LINESTRING (-111.8998565673828 40.73862838745117, -111.896785 40.741876)"
4.824440241416907,40.7294921875,-111.90272521972656,-111.896861,40.724801,"LINESTRING (-111.90272521972656 40.7294921875, -111.896861 40.724801)"
15.246115192953964,40.744407653808594,-111.90190887451172,-111.899807,40.744142,"LINESTRING (-111.90190887451172 40.744407653808594, -111.899807 40.744142)"
5.302931039418398,40.7379264831543,-111.89603424072266,-111.893685,40.733583,"LINESTRING (-111.89603424072266 40.7379264831543, -111.893685 40.733583)"
5.302931039418398,40.7340202331543,-111.89546966552734,-111.893685,40.733583,"LINESTRING (-111.89546966552734 40.7340202331543, -111.893685 40.733583)"
48.48140376565855,40.72587585449219,-111.901611328125,-111.896861,40.724801,"LINESTRING (-111.901611328125 40.72587585449219, -111.896861 40.724801)"
91.89930102043962,40.72892379760742,-111.89777374267578,-111.896861,40.724801,"LINESTRING (-111.89777374267578 40.72892379760742, -111.896861 40.724801)"
52.34892023362173,40.739986419677734,-111.8996810913086,-111.896785,40.741876,"LINESTRING (-111.8996810913086 40.73998641967773, -111.896785 40.741876)"
6.458610493145011,40.72552490234375,-111.8883056640625,-111.888048,40.725869,"LINESTRING (-111.8883056640625 40.72552490234375, -111.888048 40.725869)"
23.105171052405648,40.74093246459961,-111.89826202392578,-111.896785,40.741876,"LINESTRING (-111.89826202392578 40.74093246459961, -111.896785 40.741876)"
23.105171052405648,40.740386962890625,-111.89848327636719,-111.896785,40.741876,"LINESTRING (-111.8984832763672 40.74038696289063, -111.896785 40.741876)"
23.105171052405648,40.74143981933594,-111.89723205566406,-111.896785,40.741876,"LINESTRING (-111.89723205566406 40.74143981933594, -111.896785 40.741876)"
107.07630266399714,40.747093200683594,-111.89459228515625,-111.897231,40.749636,"LINESTRING (-111.89459228515624 40.7470932006836, -111.897231 40.749636)"
107.07630266399714,40.747276306152344,-111.89443969726562,-111.896818,40.750058,"LINESTRING (-111.89443969726562 40.74727630615234, -111.896818 40.750058)"
4.660520012649381,40.74191665649414,-111.89409637451172,-111.89954,40.742442,"LINESTRING (-111.89409637451172 40.74191665649414, -111.89954 40.742442)"
8.861467349751162,40.741859436035156,-111.89674377441406,-111.896785,40.741876,"LINESTRING (-111.89674377441406 40.74185943603516, -111.896785 40.741876)"
125.22633024227108,40.72659683227539,-111.9035873413086,-111.896861,40.724801,"LINESTRING (-111.9035873413086 40.72659683227539, -111.896861 40.724801)"
90.75510286474295,40.72737121582031,-111.8996810913086,-111.896861,40.724801,"LINESTRING (-111.8996810913086 40.72737121582031, -111.896861 40.724801)"
5.711259277820951,40.73977279663086,-111.89984893798828,-111.901974,40.741498,"LINESTRING (-111.89984893798828 40.73977279663086, -111.901974 40.741498)"
15.91818133912917,40.73817825317383,-111.89675903320312,-111.896785,40.741876,"LINESTRING (-111.89675903320312 40.73817825317383, -111.896785 40.741876)"
15.91818133912917,40.73795700073242,-111.9031753540039,-111.901974,40.741498,"LINESTRING (-111.9031753540039 40.73795700073242, -111.901974 40.741498)"
15.91818133912917,40.74132537841797,-111.89978790283203,-111.896785,40.741876,"LINESTRING (-111.89978790283205 40.74132537841797, -111.896785 40.741876)"
33.22906948457402,40.74169158935547,-111.89546203613281,-111.896785,40.741876,"LINESTRING (-111.8954620361328 40.74169158935547, -111.896785 40.741876)"
9.838533104059223,40.73796844482422,-111.8996353149414,-111.901974,40.741498,"LINESTRING (-111.8996353149414 40.73796844482422, -111.901974 40.741498)"
4.5813043754760345,40.72552490234375,-111.89083862304688,-111.890174,40.722263,"LINESTRING (-111.89083862304688 40.72552490234375, -111.890174 40.722263)"
3.361394431317778,40.742027282714844,-111.8995132446289,-111.899822,40.742322,"LINESTRING (-111.8995132446289 40.74202728271485, -111.899822 40.742322)"
10.804804982145065,40.74694061279297,-111.90388488769531,-111.899526,40.748307,"LINESTRING (-111.90388488769533 40.74694061279297, -111.899526 40.748307)"
376.4060670465381,40.73950958251953,-111.90105438232422,-111.896785,40.741876,"LINESTRING (-111.90105438232422 40.73950958251953, -111.896785 40.741876)"
2.7154222078324843,40.73154830932617,-111.8919448852539,-111.891343,40.733412,"LINESTRING (-111.8919448852539 40.73154830932617, -111.891343 40.733412)"
