X,Y,fid,stopabbr,stopname,city,county,stopabbr_j,uta_stopid,latitude,longitude,avgboard,avgalight,route,mode,zipcode,avgboard2,avgalight2
-111.889901,40.6261030000001,2590,154194,State St @ 6895 S,Midvale,Salt Lake,154194,154194,40.626103,-111.889901,3,2,201,Bus,84047,3.14,1.7
-111.890031,40.628494,2591,154196,State St @ 6651 S,Murray,Salt Lake,154196,154196,40.628494,-111.890031,2,2,201,Bus,84107,2.37,2.32
-111.888909,40.640095,2592,154197,State St @ 5995 S,Murray,Salt Lake,154197,154197,40.640095,-111.888909,4,2,201,Bus,84107,4.48,1.91
-111.888785,40.642754,2593,154198,State St @ 5905 S,Murray,Salt Lake,154198,154198,40.642754,-111.888785,27,11,201,Bus,84107,27.12,10.82
-111.888611,40.6455780000001,2594,154199,State St @ 5775 S,Murray,Salt Lake,154199,154199,40.645578,-111.888611,3,1,201,Bus,84107,3.4,0.77
-111.888513,40.647499,2595,154200,State St @ 5685 S,Murray,Salt Lake,154200,154200,40.647499,-111.888513,1,0,201,Bus,84107,1.34,0.36
-111.888446,40.6487950000001,2596,154201,State St @ 5615 S,Murray,Salt Lake,154201,154201,40.648795,-111.888446,6,1,201,Bus,84107,5.61,0.72
-111.888348,40.650942,2597,154202,State St @ 5525 S,Murray,Salt Lake,154202,154202,40.650942,-111.888348,3,1,201,Bus,84107,3.09,0.82
-111.888239,40.65297,2598,154203,State St @ 5435 S,Murray,Salt Lake,154203,154203,40.65297,-111.888239,1,2,201,Bus,84107,1.34,1.65
-111.888102,40.655446,2599,154204,State St @ 5311 S,Murray,Salt Lake,154204,154204,40.655446,-111.888102,0,2,201,Bus,84107,0.21,2.01
-111.888098,40.662536,2600,154207,State St @ 5025 S,Murray,Salt Lake,154207,154207,40.662536,-111.888098,10,3,200,Bus,84107,10.14,2.99
-111.873168,40.6321520000001,2601,154208,Winchester St / 640 E (WB),Murray,Salt Lake,154208,154208,40.632152,-111.873168,10,3,209,Bus,84107,10.24,2.68
-111.876805,40.632416,2602,154209,Winchester St / 525 E (WB),Murray,Salt Lake,154209,154209,40.632416,-111.876805,3,1,209,Bus,84107,2.68,1.34
-111.879343,40.6326020000001,2603,154210,Winchester St / 370 E (WB),Murray,Salt Lake,154210,154210,40.632602,-111.879343,2,3,209,Bus,84107,2.32,2.63
-111.881568,40.6327860000001,2604,154211,Winchester St / 300 E (WB),Murray,Salt Lake,154211,154211,40.632786,-111.881568,8,3,209,Bus,84107,7.72,3.35
-111.886347,40.6329160000001,2605,154212,Winchester/Fashion Place Mall (EB),Murray,Salt Lake,154212,154212,40.632916,-111.886347,24,42,209,Bus,84107,24.19,41.89
-111.882355,40.6326260000001,2606,154213,Winchester St / 300 E (EB),MURRAY,Salt Lake,154213,154213,40.632626,-111.882355,15,21,209,Bus,84107,15.18,21.28
-111.879145,40.6324040000001,2607,154214,Winchester St / 370 E (EB),Murray,Salt Lake,154214,154214,40.632404,-111.879145,2,5,209,Bus,84107,2.47,5.15
-111.875949,40.632188,2608,154215,Winchester St / 525 E (EB),Murray,Salt Lake,154215,154215,40.632188,-111.875949,5,5,209,Bus,84107,4.58,4.53
-111.87249,40.6319370000001,2609,154216,Winchester St / 700 E (EB),Murray,Salt Lake,154216,154216,40.631937,-111.87249,10,12,209,Bus,84107,9.67,12.16
-111.870947,40.6210510000001,2610,154217,Fort Union Blvd @ 715 E,Midvale,Salt Lake,154217,154217,40.621051,-111.870947,2,2,"72, 972",Bus,84047,2.21,1.8
-111.874999,40.6208480000001,2611,154218,Fort Union Blvd @ 589 E,Midvale,Salt Lake,154218,154218,40.620848,-111.874999,1,1,72,Bus,84047,1.24,1.03
-111.877441,40.6208590000001,2612,154219,Fort Union Blvd @ 485 E,Midvale,Salt Lake,154219,154219,40.620859,-111.877441,0,0,72,Bus,84047,0.15,0.46
